dE/dx	x	p	betagamma
62.289	0.001	9.933	2.663
62.315	0.002	9.800	2.627
62.372	0.003	9.600	2.574
62.469	0.004	9.331	2.502
62.622	0.005	8.993	2.411
62.858	0.006	8.583	2.301
63.220	0.007	8.099	2.171
63.780	0.008	7.533	2.020
64.663	0.009	6.878	1.844
66.108	0.010	6.115	1.639
68.622	0.011	5.211	1.397
73.507	0.012	4.077	1.093
85.438	0.013	2.363	0.633
146.156	0.014	0.000	0.000
