E	x
3.905	0.400
3.891	0.401
3.875	0.402
3.861	0.403
3.846	0.404
3.833	0.405
3.819	0.406
3.803	0.407
3.789	0.408
3.773	0.409
3.759	0.410
3.745	0.411
3.731	0.412
3.716	0.413
3.703	0.414
3.689	0.415
3.675	0.416
3.661	0.417
3.645	0.418
3.631	0.419
3.617	0.420
3.603	0.421
3.589	0.422
3.574	0.423
3.559	0.424
3.544	0.425
3.530	0.426
3.514	0.427
3.499	0.428
3.484	0.429
3.468	0.430
3.454	0.431
3.440	0.432
3.425	0.433
3.411	0.434
3.397	0.435
3.382	0.436
3.368	0.437
3.353	0.438
3.338	0.439
3.323	0.440
3.309	0.441
3.293	0.442
3.280	0.443
3.266	0.444
3.251	0.445
3.238	0.446
3.224	0.447
3.209	0.448
3.195	0.449
3.182	0.450
3.168	0.451
3.154	0.452
3.140	0.453
3.125	0.454
3.111	0.455
3.097	0.456
3.084	0.457
3.070	0.458
3.057	0.459
3.042	0.460
3.029	0.461
3.014	0.462
3.000	0.463
2.986	0.464
2.972	0.465
2.958	0.466
2.945	0.467
2.931	0.468
2.918	0.469
2.903	0.470
2.889	0.471
2.875	0.472
2.862	0.473
2.849	0.474
2.835	0.475
2.821	0.476
2.808	0.477
2.792	0.478
2.780	0.479
2.765	0.480
2.751	0.481
2.738	0.482
2.724	0.483
2.711	0.484
2.698	0.485
2.684	0.486
2.670	0.487
2.656	0.488
2.642	0.489
2.628	0.490
2.614	0.491
2.602	0.492
2.587	0.493
2.575	0.494
2.562	0.495
2.548	0.496
2.536	0.497
2.522	0.498
2.508	0.499
2.494	0.500
2.481	0.501
2.468	0.502
2.454	0.503
2.440	0.504
2.426	0.505
2.413	0.506
2.399	0.507
2.386	0.508
2.372	0.509
2.359	0.510
2.347	0.511
2.333	0.512
2.319	0.513
2.307	0.514
2.294	0.515
2.282	0.516
2.268	0.517
2.255	0.518
2.241	0.519
2.228	0.520
2.216	0.521
2.202	0.522
2.188	0.523
2.176	0.524
2.163	0.525
2.149	0.526
2.135	0.527
2.122	0.528
2.107	0.529
2.095	0.530
2.083	0.531
2.070	0.532
2.057	0.533
2.045	0.534
2.031	0.535
2.017	0.536
2.003	0.537
1.989	0.538
1.976	0.539
1.963	0.540
1.950	0.541
1.938	0.542
1.925	0.543
1.911	0.544
1.898	0.545
1.886	0.546
1.872	0.547
1.859	0.548
1.845	0.549
1.832	0.550
1.819	0.551
1.804	0.552
1.791	0.553
1.778	0.554
1.764	0.555
1.751	0.556
1.739	0.557
1.725	0.558
1.712	0.559
1.697	0.560
1.684	0.561
1.671	0.562
1.658	0.563
1.645	0.564
1.631	0.565
1.620	0.566
1.606	0.567
1.593	0.568
1.581	0.569
1.567	0.570
1.554	0.571
1.540	0.572
1.528	0.573
1.515	0.574
1.502	0.575
1.489	0.576
1.477	0.577
1.464	0.578
1.451	0.579
1.437	0.580
1.424	0.581
1.410	0.582
1.397	0.583
1.384	0.584
1.371	0.585
1.359	0.586
1.345	0.587
1.331	0.588
1.317	0.589
1.303	0.590
1.290	0.591
1.276	0.592
1.263	0.593
1.249	0.594
1.236	0.595
1.224	0.596
1.211	0.597
1.198	0.598
1.184	0.599
1.171	0.600
1.157	0.601
1.144	0.602
1.130	0.603
1.117	0.604
1.103	0.605
1.090	0.606
1.076	0.607
1.063	0.608
1.050	0.609
1.035	0.610
1.021	0.611
1.006	0.612
0.992	0.613
0.978	0.614
0.964	0.615
0.949	0.616
0.935	0.617
0.921	0.618
0.906	0.619
0.892	0.620
0.877	0.621
0.863	0.622
0.847	0.623
0.832	0.624
0.817	0.625
0.800	0.626
0.783	0.627
0.766	0.628
0.750	0.629
0.732	0.630
0.715	0.631
0.697	0.632
0.677	0.633
0.656	0.634
0.634	0.635
0.610	0.636
0.583	0.637
0.548	0.638
0.511	0.639
